cat|easting|northing|site_name|bare_earth_smooth_thin|fenton_bare_earth_fused|ned_19sec_site_priority_1
3617|631623.470760125|224987.204573632||133.620006636379|133.535741987095|133.5082
3618|631748.743859904|225045.603273649||134.055195565619|134.055195565619|137.9426
4220|631617.069960123|225000.724473608||134.852599642946|135.11065352851|133.7924
30778|631762.513159899|225027.431373683||134.223453914723|134.223453914723|134.0154
30779|631694.291159964|225064.871973578||133.916842217835|134.192893527206|139.0885
30780|631702.840859965|225048.581973608||134.299977589577|134.299977589577|138.3381
30781|631690.237359991|225038.681773612||133.766601531638|133.803281965122|137.6727
30782|631673.861960024|225025.991673616||133.505721591183|133.493686433237|136.8225
30783|631668.642260045|225008.35147364||133.75211193389|133.767440129252|134.9834
